0.136626, 0.758465, 
0.497852, 0.589908, 
0.999592, 0.901232, 
0.954266, 0.707009, 
0.307686, 0.680776, 
0.141573, 0.750236, 
0.123471, 0.780352, 
0.066153, 0.875715, 
0.151349, 0.733969, 
0.112186, 0.799127, 
0.088816, 0.838009, 
0.132973, 0.764543, 
0.180891, 0.685069, 
0.999592, 0.901232, 
0.034195, 0.928885, 
0.409003, 0.616583, 
0.999592, 0.901232, 
0.239384, 0.718266, 
0.999592, 0.901232, 
0.110434, 0.802043, 
0.999592, 0.901232, 
0.107259, 0.807325, 
0.531207, 0.517524, 
0.999592, 0.901232, 
0.467265, 0.571101, 
0.109106, 0.804252, 
0.051482, 0.900123, 
0.014840, 0.961087, 
0.079867, 0.852898, 
0.247112, 0.682057, 
0.649097, 0.529920, 
0.112749, 0.798191, 
0.012597, 0.964819, 
0.374041, 0.621621, 
0.999592, 0.901232, 
0.165554, 0.710337, 
0.000154, 0.985520, 
0.189091, 0.682607, 
0.996444, 0.870498, 
0.143748, 0.746616, 
0.919289, 0.571433, 
0.026339, 0.941955, 
0.999592, 0.901232, 
0.099417, 0.820372, 
0.062981, 0.880993, 
0.535663, 0.687191, 
0.942159, 0.660079, 
0.136173, 0.759220, 
0.064732, 0.878079, 
0.021517, 0.949977, 
0.111374, 0.800479, 
0.077324, 0.857129, 
0.174675, 0.695162, 
0.707266, 0.499007, 
0.090787, 0.834729, 
0.999592, 0.901232, 
0.030103, 0.935692, 
0.687358, 0.499398, 
0.999592, 0.901232, 
0.999592, 0.901232, 
0.153666, 0.730115, 
0.093255, 0.830624, 
0.056097, 0.892445, 
0.139727, 0.753306, 
